Species Name,"Organism
Type",Synonyms,Common Names,Broad Habitat,Exotic in,Invasive in,Main Reference
Miscanthus sinensis,Plant - Grass,,Eulalia,,Puerto Rico,,"CABI,2011. Miscanthus sinensis. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Miscanthus sinensis,Plant - Grass,,Eulalia,,Puerto Rico,,"CABI,2011. Miscanthus sinensis. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Moghania strobilifera,Plant - Shrub,"Flemingia
brachteata;Flemingia
fruticulosa;Hedysarum
strobiliferum;Zorrisa
strobiliferum;Flemingia
strobilifera;","Wild Hops (Jamaica);Camarones;Luck
plant;Napoleon plant;",Terrestrial,Jamaica;Guadeloupe;Martinique;,Jamaica;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Moghania strobilifera,Plant - Shrub,"Flemingia
brachteata;Flemingia
fruticulosa;Hedysarum
strobiliferum;Zorrisa
strobiliferum;Flemingia
strobilifera;","Wild Hops (Jamaica);Camarones;Luck
plant;Napoleon plant;",Terrestrial,Jamaica;Guadeloupe;Martinique;,Jamaica;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Molothrus bonariensis,Vertebrate - Bird,,Shiny cowbird;Pajaro vaquero (DR),Terrestrial,"Jamaica;Bahamas Islands;Dominican
Republic;Curacao;Martinique;Barbados;Puerto Rico;Cuba;","Jamaica: Bahamas
Islands;Dominican Republic;Curacao;Martinique;Barbados;P uerto Rico;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Molothrus bonariensis,Vertebrate - Bird,,Shiny cowbird;Pajaro vaquero (DR),Terrestrial,"Jamaica;Bahamas Islands;Dominican
Republic;Curacao;Martinique;Barbados;Puerto Rico;Cuba;","Jamaica: Bahamas
Islands;Dominican Republic;Curacao;Martinique;Barbados;P uerto Rico;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Moniliophthora roreri,Fungus,,Frosty pod rot (ISC),,,,"""Integrated Management of the Invasive Cocoa Pathogen
Moniliophthora roreri."" CIASNET.
<http://www.ciasnet.org/2011/01/22/integrated-management-of-the-
invasive-cocoa-pathogen-moniliophthora-roreri/> Aug. 13"
Moniliophthora roreri,Fungus,,Frosty pod rot (ISC),,,,"""Integrated Management of the Invasive Cocoa Pathogen
Moniliophthora roreri."" CIASNET.
<http://www.ciasnet.org/2011/01/22/integrated-management-of-the-
invasive-cocoa-pathogen-moniliophthora-roreri/> Aug. 13"
Monomorium destructor,"Invertebrate -
Insect",,Singapore ant (ISC),,Puerto Rico;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Monomorium destructor,"Invertebrate -
Insect",,Singapore ant (ISC),,Puerto Rico;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Monomorium floricola,"Invertebrate -
Insect",,,,"Anguilla;Montserrat;British Virgin Islands;Cayman Islands;Bermuda;Haiti;
Dominican Republic;Puerto Rico;US Virgin Islands;Curacao;Martinique;St.
Lucia;St. Vincent- Grenadines;Grenada;Barbados;Trinidad-Tobago;
Dominica;Guadeloupe;Antigua-Barbuda;St. Kitts-Nevis;Bahamas Islands;
Cuba;Jamaica;Aruba;Bonaire;St. Martin (France);Venezuela;Guyana; Suriname;",,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Monomorium floricola,"Invertebrate -
Insect",,,,"Anguilla;Montserrat;British Virgin Islands;Cayman Islands;Bermuda;Haiti;
Dominican Republic;Puerto Rico;US Virgin Islands;Curacao;Martinique;St.
Lucia;St. Vincent- Grenadines;Grenada;Barbados;Trinidad-Tobago;
Dominica;Guadeloupe;Antigua-Barbuda;St. Kitts-Nevis;Bahamas Islands;
Cuba;Jamaica;Aruba;Bonaire;St. Martin (France);Venezuela;Guyana; Suriname;",,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Monomorium pharaonis,"Invertebrate -
Insect",,Pharaoh ant(ISC),,Bermuda;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Monomorium pharaonis,"Invertebrate -
Insect",,Pharaoh ant(ISC),,Bermuda;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Morinda citrifolia,Plant - Tree,,,Terrestrial,Puerto Rico;Dominican Republic;Haiti,"Dominican
Republic;Haiti","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Morinda citrifolia,Plant - Tree,,,Terrestrial,Puerto Rico;Dominican Republic;Haiti,"Dominican
Republic;Haiti","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Moringa oleifera,Plant - Tree,,,Terrestrial,Haiti;Puerto Rico,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Moringa oleifera,Plant - Tree,,,Terrestrial,Haiti;Puerto Rico,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Morus nigra,Plant - Tree,,,Terrestrial,Cuba;Dominican Republic;Haiti;Puerto Rico;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Morus nigra,Plant - Tree,,,Terrestrial,Cuba;Dominican Republic;Haiti;Puerto Rico;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Mucuna pruriens,Plant - Climber,"Dolichos
purirens;Stizolobium
purirens;Stizolobium
deeringianum;Stizolobi um
aterrimum;Stizolobium
niveum;","Cow Itch;Velvet bean;Bengal bean;Mauritius
bean;",Terrestrial,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Mucuna pruriens,Plant - Climber,"Dolichos
purirens;Stizolobium
purirens;Stizolobium
deeringianum;Stizolobi um
aterrimum;Stizolobium
niveum;","Cow Itch;Velvet bean;Bengal bean;Mauritius
bean;",Terrestrial,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Muntingia calabura,Plant - Tree,,,Terrestrial,Puerto Rico,Puerto Rico,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Muntingia calabura,Plant - Tree,,,Terrestrial,Puerto Rico,Puerto Rico,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Murdannia nudiflora,Plant - Herb,,Doveweed,,Trinidad-Tobago;Venezuela;Haiti;Puerto Rico;Guyana;Suriname;,Trinidad-Tobago;Venezuela,"CABI,2011. Murdannia nudiflora. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Murdannia nudiflora,Plant - Herb,,Doveweed,,Trinidad-Tobago;Venezuela;Haiti;Puerto Rico;Guyana;Suriname;,Trinidad-Tobago;Venezuela,"CABI,2011. Murdannia nudiflora. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Murraya paniculata,Plant - Tree,,Mock orange;Orange jessamine;Chinese Box;,Terrestrial,Bermuda;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Murraya paniculata,Plant - Tree,,Mock orange;Orange jessamine;Chinese Box;,Terrestrial,Bermuda;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Mus musculus,"Vertebrate -
Mammal",,"Mouse;Biganuelo (DR);
Raton casero (DR);house mouse;",Terrestrial,"Bahamas Islands;Dominican Republic;Curacao;Dominica;Haiti;Trinidad-
Tobago;Anguilla;British Virgin Islands;Cayman Islands (Cayman Brac,Grand
Cayman,Little Cayman); Bermuda; Martinique;Guadeloupe;","Bahamas
Islands;Curacao;Do minican Republic;Curacao;D ominica;Haiti;Trinidad-
Tobago?Cayman Islands (Cayman Brac Island,Grand Cayman,Little
Cayman);Martinique;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Mus musculus,"Vertebrate -
Mammal",,"Mouse;Biganuelo (DR);
Raton casero (DR);house mouse;",Terrestrial,"Bahamas Islands;Dominican Republic;Curacao;Dominica;Haiti;Trinidad-
Tobago;Anguilla;British Virgin Islands;Cayman Islands (Cayman Brac,Grand
Cayman,Little Cayman); Bermuda; Martinique;Guadeloupe;","Bahamas
Islands;Curacao;Do minican Republic;Curacao;D ominica;Haiti;Trinidad-
Tobago?Cayman Islands (Cayman Brac Island,Grand Cayman,Little
Cayman);Martinique;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Musculista senhousia,"Invertebrate -
Mollusc",,,Marine,Mexico;,,"CABI,2012. Musculista senhousia. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."
Musculista senhousia,"Invertebrate -
Mollusc",,,Marine,Mexico;,,"CABI,2012. Musculista senhousia. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."
Mycale grandis,"Invertebrate -
Sponge",,orange keyhole sponge,Marine,Mexico;,Mexico;,"CABI,2012. Mycale grandis. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Mycale grandis,"Invertebrate -
Sponge",,orange keyhole sponge,Marine,Mexico;,Mexico;,"CABI,2012. Mycale grandis. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Mycosphaerella fijiensis,Fungus,,Sigatoka negra (Dom Rep);Black Sigatoka (ISC),Terrestrial,Dominican Republic;Cuba;Haiti;Jamaica;Venezuela;,Dominican Republic;Cuba;Haiti;Jamaica;Venezuela;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Mycosphaerella fijiensis,Fungus,,Sigatoka negra (Dom Rep);Black Sigatoka (ISC),Terrestrial,Dominican Republic;Cuba;Haiti;Jamaica;Venezuela;,Dominican Republic;Cuba;Haiti;Jamaica;Venezuela;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Myiopsitta monachus,Vertebrate - Bird,,Monk parakeet (ISC),,Cayman Islands;Bermuda;Puerto Rico;Bahamas Islands;,Cayman Islands;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Myiopsitta monachus,Vertebrate - Bird,,Monk parakeet (ISC),,Cayman Islands;Bermuda;Puerto Rico;Bahamas Islands;,Cayman Islands;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Mylopharyngodon piceus,Vertebrate - Fish,,black amur,,Cuba,,"CABI,2011. Mylopharyngodon piceus. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."
Mylopharyngodon piceus,Vertebrate - Fish,,black amur,,Cuba,,"CABI,2011. Mylopharyngodon piceus. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."
Myosotella myosotis,"Invertebrate -
mollusc",,Marsh snail,Marine,Florida;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Myosotella myosotis,"Invertebrate -
mollusc",,Marsh snail,Marine,Florida;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Myroxylon balsamum,Plant - Tree,,,Terrestrial,Dominican Republic;Puerto Rico;Trinidad-Tobago,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Myroxylon balsamum,Plant - Tree,,,Terrestrial,Dominican Republic;Puerto Rico;Trinidad-Tobago,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Mytilus galloprovincialis,"Invertebrate -
Molllusc",,Mediterranean mussel,Marine,Mexico;,,"CABI,2012. Mytilus galloprovincialis. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."
Mytilus galloprovincialis,"Invertebrate -
Molllusc",,Mediterranean mussel,Marine,Mexico;,,"CABI,2012. Mytilus galloprovincialis. In: Invasive Species
Compendium. Wallingford, UK: CAB International.
http://www.cabi.org/isc."
Nannochloropsis oculata,Micro-Algae,,Algae;Yellow-green microalga,Marine,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Nannochloropsis oculata,Micro-Algae,,Algae;Yellow-green microalga,Marine,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Neocalanus sp.,"Invertebrate -
crustacean",,A copepod,Marine,Colombia;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Neocalanus sp.,"Invertebrate -
crustacean",,A copepod,Marine,Colombia;,,"Lopez Vyjayanthi and Ulrike Krauss. National and Regional
Capacities and Experiences on Marine Invasive Species,Including
Ballast Waters, Management Programmes in the Wider Caribbean
Region - a Compilation of Current Information. 2006."
Neolamarckia cadamba,Plant - Tree,Anthocephalus chinensis,,Terrestrial,Puerto Rico;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Neolamarckia cadamba,Plant - Tree,Anthocephalus chinensis,,Terrestrial,Puerto Rico;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Neophyllaphis brimblecombei,"Invertebrate -
Insect",,,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Neophyllaphis brimblecombei,"Invertebrate -
Insect",,,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Nephrolepis cordifolia,Plant - Fern,Polypodium cordifolium,"Boston fern;Fishbone fern;erect
swordfern;tuberous swordfern",Terrestrial*,Barbados;Bermuda;,Barbados;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Nephrolepis cordifolia,Plant - Fern,Polypodium cordifolium,"Boston fern;Fishbone fern;erect
swordfern;tuberous swordfern",Terrestrial*,Barbados;Bermuda;,Barbados;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Nephrolepis multiflora,Plant - Fern,,Asian sword fern;Helecho camaron (Dom Rep);,Terrestrial,Bahamas Islands;Dominican Republic;,"Bahamas
Islands;Dominican
Republic","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Nephrolepis multiflora,Plant - Fern,,Asian sword fern;Helecho camaron (Dom Rep);,Terrestrial,Bahamas Islands;Dominican Republic;,"Bahamas
Islands;Dominican
Republic","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Nerium oleander,Plant - Shrub,,Oleander,Terrestrial,Bermuda;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Nerium oleander,Plant - Shrub,,Oleander,Terrestrial,Bermuda;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Neyraudia reynaudiana,Plant - Grass,,Burma reed;Cane grass;silk reed;false reed;,Terrestrial,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Neyraudia reynaudiana,Plant - Grass,,Burma reed;Cane grass;silk reed;false reed;,Terrestrial,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Nipaecoccus nipae,"Invertebrate -
Insect",,coconut mealybug,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Nipaecoccus nipae,"Invertebrate -
Insect",,coconut mealybug,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Noronhia emarginata,Plant - Tree,,Madagascar Olive,Terrestrial,Bermuda;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Noronhia emarginata,Plant - Tree,,Madagascar Olive,Terrestrial,Bermuda;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Norops grahami,Vertebrate - Reptile,,,,Bermuda;,Bermuda;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Norops grahami,Vertebrate - Reptile,,,,Bermuda;,Bermuda;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Norops sagrei,Vertebrate - Reptile,,Bahamian brown anole (ISC),,Cayman Islands;Grenada;Jamaica;,Cayman Islands;Grenada;Jamaica;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Norops sagrei,Vertebrate - Reptile,,Bahamian brown anole (ISC),,Cayman Islands;Grenada;Jamaica;,Cayman Islands;Grenada;Jamaica;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
"Nylanderia (=Paratrechina)
pubens","Invertebrate -
Insect",,,,Bermuda;US Virgin Islands;,Bermuda;US Virgin Islands;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
"Nylanderia (=Paratrechina)
pubens","Invertebrate -
Insect",,,,Bermuda;US Virgin Islands;,Bermuda;US Virgin Islands;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Nypa fruticans,Plant - Tree,,Nipa palm (ISC),Terrestrial,Trinidad-Tobago;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Nypa fruticans,Plant - Tree,,Nipa palm (ISC),Terrestrial,Trinidad-Tobago;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Ocimum gratissimum,Plant - Herb,,,,Martinique;Guadeloupe;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Ocimum gratissimum,Plant - Herb,,,,Martinique;Guadeloupe;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Ocyptamus sp.,"Invertebrate -
Insect",,,Freshwater,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Ocyptamus sp.,"Invertebrate -
Insect",,,Freshwater,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Odocoileus virginianus,"Vertebrate -
Mammal",,White-tailed deer;,Terrestrial,Jamaica;,Jamaica:,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
